,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,Review
49,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,42408,8.4,Vienna Sporthotel,Slovenia,0,556,3,15,9.6,"[' Leisure trip ', ' Family with older children ', ' Comfort Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",366 day,48.191373,16.4082294,very comfortable
51,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,5/16/2016,8.4,Vienna Sporthotel,Netherlands,0,556,15,8,10,"[' Leisure trip ', ' Solo traveler ', ' Comfort Single Room ', ' Stayed 1 night ']",444 day,48.191373,16.4082294,The friendliness of the staff the accommodation conditions easy and smooth check in
53,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,4/24/2016,8.4,Vienna Sporthotel,Israel,0,556,5,1,10,"[' Business trip ', ' Couple ', ' Comfort Single Room ', ' Stayed 4 nights ']",466 day,48.191373,16.4082294,Cleaner than a pharmacy
58,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,9/24/2015,8.4,Vienna Sporthotel,Denmark,0,556,21,12,9.2,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",679 day,48.191373,16.4082294,Very helpful and professional staff close to a subway station nice room and good parking facilities for your car
59,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,42286,8.4,Vienna Sporthotel,United Kingdom,0,556,14,7,9.6,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ']",693 day,48.191373,16.4082294,Very helpful professional staff Accommodated our bikes Good pool Very good breakfast
63,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,42316,8.4,Vienna Sporthotel,Slovakia,0,556,6,1,9.2,"[' Leisure trip ', ' Couple ', ' Special Offer Comfort Double Room with Breakfast and Parking Included ', ' Stayed 1 night ', ' Submitted from a mobile device ']",723 day,48.191373,16.4082294,Nice swimming pool large bathroom
83,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42953,8.6,Melia Vienna,Australia,0,3557,71,12,10,"[' Leisure trip ', ' Couple ', ' Level Room with Executive Lounge Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",56 days,48.231911,16.4129493,We arrived after a 22hour flight from Australia and were treated exceptionally well by the staff We booked a Level room which is large super comfortable great views of the city and river and the bathroom is fabulous Rooms are very quiet because of the carpets in the hallways We had access to the club lounge on level 57 with amazing views good food and great service No complaints here
101,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42889,8.6,Melia Vienna,Austria,0,3557,29,15,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",150 day,48.231911,16.4129493,The bed was massive and super comfortable Also the staff was very friendly and professional Food in the 57th floor restaurant was quite expensive but really good
116,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42716,8.6,Melia Vienna,United Kingdom,0,3557,43,1,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",234 day,48.231911,16.4129493,The rooftop restaurant was private to the rest of the hotel hotel guests were priority only aloud In lifts with a hotel card which you receive when you pay for a room Classy lovely atmosphere clean and left you feeling special
121,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42654,8.6,Melia Vienna,Austria,0,3557,38,15,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",266 day,48.231911,16.4129493,next to highway uno conference center underground to city center roof bar with top view over vienna parking garage only 10 per day minibar included windows in room to open quiet room quiet location at all
150,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42651,8.6,Melia Vienna,United Kingdom,0,3557,31,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",358 day,48.231911,16.4129493,Room was very large and had great facilities including nespresso machine and complimentary mini bar Hospitality provided us with complimentary champagne a great treat Excellent bathroom with good styling
152,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42468,8.6,Melia Vienna,Romania,0,3557,37,1,8.8,"[' Leisure trip ', ' Couple ', ' Level Room with Executive Lounge Access ', ' Stayed 3 nights ']",364 day,48.231911,16.4129493,Although rooms do not have a balcony and this is a skyscraper we could open the window and well protected to not fall out Great Also the included free mini bar was a great feature
164,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42497,8.6,Melia Vienna,Romania,0,3557,55,10,10,"[' Business trip ', ' Couple ', ' Level Room with Executive Lounge Access ', ' Stayed 3 nights ']",394 day,48.231911,16.4129493,Very good WiFi signal Excellent view of the Danube and the city Staff was very friendly beyond any expectations Room was very clean and the cleaning staff visited 2 3 times per day in order to change towels and arrange the bed Breakfast was very rich and the minibar in the room is free
168,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,6/30/2016,8.6,Melia Vienna,Estonia,0,3557,31,6,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']",399 day,48.231911,16.4129493,Minibar was free and they did refill that every day There was coffee machine in our room Hotel was beautiful and very luxury and price was great for that
188,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,5/22/2016,8.6,Melia Vienna,United Kingdom,0,3557,36,1,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",438 day,48.231911,16.4129493,Lounge on 57th floor amazing schower with views on river and Vienna free juices and beer in a room lovely room with beautiful views huge bed gym on 14th floor Everything was just perfect
191,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,5/16/2016,8.6,Melia Vienna,India,0,3557,72,12,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",444 day,48.231911,16.4129493,The rooms are amazing Please remember if u require a room facing the danube river and main city side u need to book the higher category room The rooms are spacious and the bathroom is mind blowing the showet space is the largest i have seen ever travelling any country till date The hotel is classy and business type U will find less tourist type people Breakfast spread is good
193,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42709,8.6,Melia Vienna,Netherlands,0,3557,121,21,10,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ']",448 day,48.231911,16.4129493,Wonderful hotel and brilliant view from the 58th floor Had a room on the 11th floor very spacious and nicely decorated A special thanks goes to Maria the concierge I guess from the E floor I already checked out on Wednesday the 11th of May but my flight back home was in the evening All of a sudden I got a serious migraine and needed to rest She helped me out to arrange a room to rest for 1 5 hours No extra costs involved Therefore a big thank you to Maria and the management of Melia Vienna This is why people come back for business and private purposes to this specific hotel Really much appreciated Best regards Ralph Bos
218,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,2/17/2016,8.6,Melia Vienna,Belgium,0,3557,27,17,10,"[' Leisure trip ', ' Couple ', ' Junior Suite with Executive Lounge Access ', ' Stayed 2 nights ']",533 day,48.231911,16.4129493,excellent facilities excellent location 3 min from underground quiet full luxury all new infrastructure the 57th floor breakfast and lounge is top a 5 star rating
223,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42462,8.6,Melia Vienna,United Kingdom,0,3557,27,1,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",546 day,48.231911,16.4129493,Amazing hotel fantastic location highly recommended 3 minutes walk to the metro which was a great way to get into the centre Would definitely return
241,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42583,8.6,Melia Vienna,Turkey,0,3557,33,1,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ']",573 day,48.231911,16.4129493,Close to city center clean rooms bathroom and comfortable beds Speed of internet is limitless It was the first time I have got free of charge refilled minibar which was awesome
251,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,12/27/2015,8.6,Melia Vienna,Romania,0,3557,35,1,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",585 day,48.231911,16.4129493,Everything was perfect I wanted to ask my girlfriend to marry me and it seems the top floor of the building made her reply a big YES Thank you for your great services
260,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42228,8.6,Melia Vienna,United Kingdom,0,3557,165,7,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",604 day,48.231911,16.4129493,The room was great Excellent value considering we got a double deluxe in a deal It was hugely spacious luxury sexy interior and a huge amazingly comfortable bed with floor to ceiling windows that meant you could look out over the city The mini bar was also complementary and all the staff were very helpful not that we needed much help I was a bit wary of how far away from the centre of Vienna it would be but it was absolutely not an issue the trains are so simple to co ordinate and you are a 2 minute walk from the nearest station just a few minutes from town We did visit the bar 57 at the end of our Saturday night which had great cocktails and was quite busy with music and a bar club feel I would undoubtedly recommend this hotel it delivers what it says and is a little bit of luxury for excellent value in a beautiful city
287,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42316,8.6,Melia Vienna,Thailand,0,3557,63,4,10,"[' Leisure trip ', ' Family with young children ', ' Level Room with Executive Lounge Access ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",723 day,48.231911,16.4129493,Excellent service staff kind and always service minded Location is great next to metro Donau river parks and recreation area The room modern and spacious with all facilities Having a level room gives you also access to a quiet lounge where they serve meals with a breathtaking view over Vienna We loved our stay at Melia Vienna it s worth it
294,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,7/23/2017,8.6,Melia Vienna,United Kingdom,0,3557,28,1,9.6,"[' Leisure trip ', ' Couple ', ' Level Room with Executive Lounge Access ', ' Stayed 2 nights ']",11 days,48.231911,16.4129493,It was much appreciated to receive a free bottle of champagne in our room as it was our silver wedding anniversary arranged by Thomas the concierge
295,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,43046,8.6,Melia Vienna,Poland,0,3557,8,2,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",23 days,48.231911,16.4129493,Clean nic room with a nice view
303,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42801,8.6,Melia Vienna,United Kingdom,0,3557,8,1,9.2,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",31 days,48.231911,16.4129493,Beautiful A nice getaway with no issues
309,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,6/17/2017,8.6,Melia Vienna,Czech Republic,0,3557,5,3,10,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",47 days,48.231911,16.4129493,Warm staff great food
312,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,6/14/2017,8.6,Melia Vienna,Norway,0,3557,24,3,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']",50 days,48.231911,16.4129493,Good quality hotel but definitely not a 5 star hotel The bar on 57 floor is amazing with a good choice of wines
317,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42892,8.6,Melia Vienna,Romania,0,3557,8,5,10,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",58 days,48.231911,16.4129493,Free mini bar great staff wonderful rooms
329,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,4/15/2017,8.6,Melia Vienna,Georgia,0,3557,5,11,10,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 2 nights ']",110 day,48.231911,16.4129493,All was super
333,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42859,8.6,Melia Vienna,Austria,0,3557,10,35,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",120 day,48.231911,16.4129493,Towers are always great Breakfast is as well
335,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,3/14/2017,8.6,Melia Vienna,India,0,3557,4,13,9.2,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",142 day,48.231911,16.4129493,Clean and modern
336,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,3/14/2017,8.6,Melia Vienna,United Kingdom,0,3557,5,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 4 nights ']",142 day,48.231911,16.4129493,Rooms fantastic Excellent hotel
338,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,2/22/2017,8.6,Melia Vienna,Qatar,0,3557,4,25,10,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",162 day,48.231911,16.4129493,High class hotel
343,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,1/15/2017,8.6,Melia Vienna,Czech Republic,0,3557,5,10,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",200 day,48.231911,16.4129493,Everything was perfect
348,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42795,8.6,Melia Vienna,Czech Republic,0,3557,10,18,8.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 2 nights ']",212 day,48.231911,16.4129493,the friendliness of the staff and the sky lounge
349,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42767,8.6,Melia Vienna,United Kingdom,0,3557,14,7,10,"[' Leisure trip ', ' Couple ', ' Junior Suite with Executive Lounge Access ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",213 day,48.231911,16.4129493,Great room with a beautiful view down the Danube staff were very helpful
350,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,12/27/2016,8.6,Melia Vienna,United States of America,0,3557,2,2,7.5,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 3 nights ']",219 day,48.231911,16.4129493,location
351,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,12/22/2016,8.6,Melia Vienna,Netherlands,0,3557,26,32,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ']",224 day,48.231911,16.4129493,the modern designed rooms and the sky bar with the view on the 57th floor In 6 min with metro in the center great
357,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42686,8.6,Melia Vienna,Saudi Arabia,0,3557,5,14,8.3,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 3 nights ']",235 day,48.231911,16.4129493,Every thing was great
359,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42502,8.6,Melia Vienna,Austria,0,3557,4,33,9.6,"[' Business trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",241 day,48.231911,16.4129493,Nyc Feeling
362,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,11/25/2016,8.6,Melia Vienna,United Kingdom,0,3557,4,8,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",251 day,48.231911,16.4129493,Free mini bar
363,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,11/18/2016,8.6,Melia Vienna,Morocco,0,3557,3,15,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",258 day,48.231911,16.4129493,The view
365,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,11/15/2016,8.6,Melia Vienna,United Kingdom,0,3557,18,1,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']",261 day,48.231911,16.4129493,Amazing hotel with a great selection for breakfast The 57 exec lounge is a must see
376,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42623,8.6,Melia Vienna,Australia,0,3557,4,11,9.6,"[' Business trip ', ' Solo traveler ', ' Level Room with Executive Lounge Access ', ' Stayed 2 nights ']",298 day,48.231911,16.4129493,everything was perfect
380,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42470,8.6,Melia Vienna,United Kingdom,0,3557,20,1,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 4 nights ']",303 day,48.231911,16.4129493,Beautiful rooms Great food in room service and the hotel restaurant Beautiful bar WiFi that actually works well
383,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,9/28/2016,8.6,Melia Vienna,Netherlands,0,3557,24,19,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",309 day,48.231911,16.4129493,The staff are excellent Hotel facilities are top Metro is within a couple minutes walk away and only a few stops to Stephanplatz
384,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,9/27/2016,8.6,Melia Vienna,Austria,0,3557,9,25,9.2,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",310 day,48.231911,16.4129493,Breakfast in bed with a great view
387,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,9/20/2016,8.6,Melia Vienna,United Arab Emirates,0,3557,7,1,9.6,"[' Business trip ', ' Solo traveler ', ' Level Room with Executive Lounge Access ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",317 day,48.231911,16.4129493,Every things the Servies was great
389,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,9/18/2016,8.6,Melia Vienna,Germany,0,3557,4,3,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",319 day,48.231911,16.4129493,Modern fitness 24h
400,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/30/2016,8.6,Melia Vienna,Belgium,0,3557,9,10,9.2,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",338 day,48.231911,16.4129493,The building is new and very impressive
402,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/29/2016,8.6,Melia Vienna,Albania,0,3557,6,1,10,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double Room ', ' Stayed 1 night ']",339 day,48.231911,16.4129493,looking forward to return again
403,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/28/2016,8.6,Melia Vienna,Romania,0,3557,16,8,10,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",340 day,48.231911,16.4129493,Loved it every second Definitely will be back Thank you for a pleasant stay
408,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/23/2016,8.6,Melia Vienna,Malta,0,3557,2,5,10,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",345 day,48.231911,16.4129493,Awesome
410,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/18/2016,8.6,Melia Vienna,United Kingdom,0,3557,5,23,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",350 day,48.231911,16.4129493,Lovely rooms and staff
413,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/18/2016,8.6,Melia Vienna,Saudi Arabia,0,3557,3,3,9.6,"[' Leisure trip ', ' Couple ', ' Premier Double Room with Panoramic View and Executive Lounge Access ', ' Stayed 3 nights ']",350 day,48.231911,16.4129493,locatoin
414,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/16/2016,8.6,Melia Vienna,Jordan,0,3557,5,16,10,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 10 nights ', ' Submitted from a mobile device ']",352 day,48.231911,16.4129493,Every thing very nice
416,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,8/14/2016,8.6,Melia Vienna,Italy,0,3557,5,6,10,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",354 day,48.231911,16.4129493,Rooftop bar amazing
417,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42712,8.6,Melia Vienna,New Zealand,0,3557,4,1,10,"[' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",356 day,48.231911,16.4129493,Great breakfast choices
422,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,7/28/2016,8.6,Melia Vienna,Jordan,0,3557,21,16,9.6,"[' With a pet ', ' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 10 nights ', ' Submitted from a mobile device ']",371 day,48.231911,16.4129493,The chairs in the room not comfortable there is no chairs at the reception area the parking cost too much
424,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,7/20/2016,8.6,Melia Vienna,Poland,0,3557,11,7,10,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 2 nights ']",379 day,48.231911,16.4129493,everything was great amazing view from the roof bar
430,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42376,8.6,Melia Vienna,United States of America,0,3557,6,15,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",398 day,48.231911,16.4129493,Quality breakfast Superb bed
432,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,6/23/2016,8.6,Melia Vienna,South Korea,0,3557,24,5,10,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ']",406 day,48.231911,16.4129493,Very Clean Easy to access to city center via Tram Nice to take a walk along Donau river Excellent quality of Breakfast
435,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42619,8.6,Melia Vienna,Saudi Arabia,0,3557,14,25,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",420 day,48.231911,16.4129493,Everything was amazing specially the staff they were unbelievable all of them
437,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,5/31/2016,8.6,Melia Vienna,Switzerland,0,3557,10,7,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",429 day,48.231911,16.4129493,Modern rooms super clean and with an AMAZING view
438,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,5/28/2016,8.6,Melia Vienna,Belgium,0,3557,2,1,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",432 day,48.231911,16.4129493,Views
442,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,5/17/2016,8.6,Melia Vienna,China,0,3557,4,2,10,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 8 nights ']",443 day,48.231911,16.4129493,Very nice hotel
443,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,5/14/2016,8.6,Melia Vienna,Czech Republic,0,3557,4,4,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",446 day,48.231911,16.4129493,Nice desing hotel
444,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42648,8.6,Melia Vienna,Austria,0,3557,4,46,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",450 day,48.231911,16.4129493,Restaurant on top
448,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,42434,8.6,Melia Vienna,Ukraine,0,3557,7,21,10,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",457 day,48.231911,16.4129493,That was amazing Really hotel
